"clone","para_time_point","n"
17,"1",1
17,"none",3
22,"1",3
22,"none",3
29,"1",15
29,"none",5
31,"1",1
31,"none",1
211,"2",4
220,"2",9
220,"none",5
223,"2",7
223,"none",4
224,"2",1
227,"2",6
234,"2",7
240,"2",5
240,"none",5
241,"2",2
248,"2",4
248,"none",5
249,"2",4
304,"1",8
304,"3",6
304,"none",4
308,"1",9
308,"3",9
311,"1",7
311,"3",6
312,"1",1
312,"3",4
312,"none",2
313,"1",8
313,"3",4
323,"1",4
323,"3",5
324,"1",8
324,"3",5
324,"none",5
329,"1",1
329,"3",5
330,"1",5
330,"3",9
333,"1",9
333,"3",7
335,"1",1
337,"1",2
337,"3",6
339,"1",7
339,"3",3
339,"none",3
343,"1",1
343,"3",5
403,"3",5
403,"none",3
